TANK_NUM,DATE,TIME,TREATMENT,NPOC_uM,DATETIME
Inflow1,20240602,12:00:00,Inflow,138.7623813,2024-06-02T12:00:00Z
Inflow2,20240602,12:00:00,Inflow,146.0891816,2024-06-02T12:00:00Z
1,20240602,12:00:00,Algae_Dom,215.527266,2024-06-02T12:00:00Z
2,20240602,12:00:00,Rubble_Dom,159.4106366,2024-06-02T12:00:00Z
3,20240602,12:00:00,Control,207.7009111,2024-06-02T12:00:00Z
4,20240602,12:00:00,Algae_Dom,258.3224403,2024-06-02T12:00:00Z
5,20240602,12:00:00,Rubble_Dom,142.1760042,2024-06-02T12:00:00Z
6,20240602,12:00:00,Coral_Dom,183.9720693,2024-06-02T12:00:00Z
7,20240602,12:00:00,Coral_Dom,147.0882907,2024-06-02T12:00:00Z
8,20240602,12:00:00,Control,137.4302358,2024-06-02T12:00:00Z
9,20240602,12:00:00,Coral_Dom,144.8402952,2024-06-02T12:00:00Z
10,20240602,12:00:00,Rubble_Dom,182.7231829,2024-06-02T12:00:00Z
11,20240602,12:00:00,Control,128.688031,2024-06-02T12:00:00Z
12,20240602,12:00:00,Rubble_Dom,152.5001318,2024-06-02T12:00:00Z
13,20240602,12:00:00,Algae_Dom,148.0041408,2024-06-02T12:00:00Z
14,20240602,12:00:00,Algae_Dom,139.0759906,2024-06-02T12:00:00Z
15,20240602,12:00:00,Control,132.8315585,2024-06-02T12:00:00Z
16,20240602,12:00:00,Coral_Dom,140.0750997,2024-06-02T12:00:00Z
Inflow1,20240602,18:00:00,Inflow,113.0158942,2024-06-02T18:00:00Z
Inflow2,20240602,18:00:00,Inflow,103.9406529,2024-06-02T18:00:00Z
1,20240602,18:00:00,Algae_Dom,118.2612171,2024-06-02T18:00:00Z
2,20240602,18:00:00,Rubble_Dom,105.8556121,2024-06-02T18:00:00Z
3,20240602,18:00:00,Control,100.2772528,2024-06-02T18:00:00Z
4,20240602,18:00:00,Algae_Dom,128.0025311,2024-06-02T18:00:00Z
5,20240602,18:00:00,Rubble_Dom,107.6873121,2024-06-02T18:00:00Z
6,20240602,18:00:00,Coral_Dom,128.7518629,2024-06-02T18:00:00Z
7,20240602,18:00:00,Coral_Dom,110.0185668,2024-06-02T18:00:00Z
8,20240602,18:00:00,Control,492.32,2024-06-02T18:00:00Z
9,20240602,18:00:00,Coral_Dom,140.5746543,2024-06-02T18:00:00Z
10,20240602,18:00:00,Rubble_Dom,123.4232809,2024-06-02T18:00:00Z
11,20240602,18:00:00,Control,456.31,2024-06-02T18:00:00Z
12,20240602,18:00:00,Rubble_Dom,123.1735036,2024-06-02T18:00:00Z
13,20240602,18:00:00,Algae_Dom,131.2496357,2024-06-02T18:00:00Z
14,20240602,18:00:00,Algae_Dom,102.8582847,2024-06-02T18:00:00Z
15,20240602,18:00:00,Control,129.0016402,2024-06-02T18:00:00Z
16,20240602,18:00:00,Coral_Dom,134.3302222,2024-06-02T18:00:00Z
Inflow1,20240603,00:00:00,Inflow,318.5825972,2024-06-03T00:00:00Z
Inflow2,20240603,00:00:00,Inflow,322.0794791,2024-06-03T00:00:00Z
1,20240603,00:00:00,Algae_Dom,158.1423231,2024-06-03T00:00:00Z
2,20240603,00:00:00,Rubble_Dom,355.0500803,2024-06-03T00:00:00Z
3,20240603,00:00:00,Control,336.8163388,2024-06-03T00:00:00Z
4,20240603,00:00:00,Algae_Dom,108.6864213,2024-06-03T00:00:00Z
5,20240603,00:00:00,Rubble_Dom,311.4223151,2024-06-03T00:00:00Z
6,20240603,00:00:00,Coral_Dom,94.86541167,2024-06-03T00:00:00Z
7,20240603,00:00:00,Coral_Dom,92.36763886,2024-06-03T00:00:00Z
8,20240603,00:00:00,Control,85.79017043,2024-06-03T00:00:00Z
